,ID,Year,per_capita,thousand_tons
1004,500,2013,10.3,51
1005,500,2014,9.6,48
1006,504,1975,0.7,11111
1007,504,1985,0.8,17866
1008,504,1995,1.1,30374
1009,504,2005,1.5,45771
1010,504,2010,1.7,55958
1011,504,2012,1.9,62731
1012,504,2013,1.7,59083
1013,504,2014,1.7,59864
1014,508,1975,0.3,2886
1015,508,1985,0.1,1148
1016,508,1995,0.1,1115
1017,508,2005,0.1,1822
1018,508,2010,0.1,2736
1019,508,2012,0.1,3121
1020,508,2013,0.1,4019
1021,508,2014,0.3,8427
1022,104,1975,0.1,4587
1023,104,1985,0.2,6711
1024,104,1995,0.2,6960
1025,104,2005,0.3,11599
1026,104,2010,0.3,12515
1027,104,2012,0.2,11071
1028,104,2013,0.3,12860
1029,104,2014,0.4,21632
1030,516,1995,1.0,1632
1031,516,2005,1.1,2310
1032,516,2010,1.4,3102
1033,516,2012,1.5,3385
1034,516,2013,1.1,2629
1035,516,2014,1.6,3755
1036,520,1975,14.8,103
1037,520,1985,15.4,125
1038,520,1995,10.8,106
1039,520,2005,6.1,62
1040,520,2010,4.3,44
1041,520,2012,4.0,40
1042,520,2013,4.3,44
1043,520,2014,4.8,48
1044,524,1975,0.0,352
1045,524,1985,0.0,678
1046,524,1995,0.1,2035
1047,524,2005,0.1,3084
1048,524,2010,0.2,5057
1049,524,2012,0.2,5856
1050,524,2013,0.3,6637
1051,524,2014,0.3,8031
1052,528,1975,11.3,153020
1053,528,1985,10.2,147949
1054,528,1995,11.6,178634
1055,528,2005,11.1,181480
1056,528,2010,11.0,183053
1057,528,2012,10.2,170310
1058,528,2013,10.3,173255
1059,528,2014,9.9,167303
1060,530,1995,27.5,5225
1061,530,2005,30.8,5735
1062,530,2010,22.0,4562
1063,540,1975,19.7,2530
